strategy,rep,phase,rel_time,node,task_size,latency_ms
Round Robin,0,post,14.979511737823486,node-b,372869.60032961477,503.9176940917969
Round Robin,0,post,15.010373830795288,node-c,270673.7032603318,1952.759027481079
Round Robin,0,post,15.027082920074463,node-a,69121.79320389297,1408.311367034912
Round Robin,0,post,15.076015710830688,node-b,91725.46704343578,220.37053108215332
Round Robin,0,post,15.214815378189087,node-c,50946.22893239044,1239.7408485412598
Round Robin,0,post,15.237289428710938,node-a,78817.75082720756,1098.6559391021729
Round Robin,0,post,15.337005615234375,node-b,124001.57220251733,234.05027389526367
Round Robin,0,post,15.540982723236084,node-c,193527.2933110387,1528.6941528320312
Round Robin,0,post,15.56853437423706,node-a,73548.8509272347,585.5779647827148
Round Robin,0,post,15.865176677703857,node-b,76356.9093068363,76.72333717346191
Round Robin,0,post,15.869316816329956,node-c,36192.33036132406,1189.7270679473877
Round Robin,0,post,15.872151613235474,node-a,97627.45767682875,563.2426738739014
Round Robin,0,post,16.000154495239258,node-b,62257.84408801169,62.26158142089844
Round Robin,0,post,16.044652938842773,node-c,81269.60050479758,1041.849136352539
Round Robin,0,post,16.08633255958557,node-a,68310.35418515968,464.9486541748047
Round Robin,0,post,16.221636533737183,node-b,101024.2377380574,86.42292022705078
Round Robin,0,post,16.39238452911377,node-c,43975.275129573434,854.9826145172119
Round Robin,0,post,16.44899892807007,node-a,50854.52572893877,200.84071159362793
Round Robin,0,post,16.594441175460815,node-b,307082.14921023283,491.0564422607422
Round Robin,0,post,16.66398596763611,node-c,55633.21706787448,623.4233379364014
Round Robin,0,post,16.699012756347656,node-a,61197.048030226644,59.880733489990234
Round Robin,0,post,16.715518712997437,node-b,265323.1473202159,542.494535446167
Round Robin,0,post,16.81014132499695,node-c,452607.5105985092,2476.529359817505
Round Robin,0,post,16.957971811294556,node-a,58951.10835212367,66.30802154541016
Round Robin,0,post,17.142343044281006,node-b,88090.72632850516,183.8967800140381
Round Robin,0,post,17.16322636604309,node-c,125621.01014287982,584.0237140655518
Round Robin,0,post,17.233561992645264,node-a,251348.5358518715,630.6729316711426
Round Robin,0,post,17.269094467163086,node-b,64654.85529064135,109.85898971557617
Round Robin,0,post,17.386986255645752,node-c,93677.01170451973,669.884204864502
Round Robin,0,post,17.40256381034851,node-a,156203.6384726014,1034.7540378570557
Round Robin,0,post,17.406365633010864,node-b,131614.18212806404,140.29669761657715
Round Robin,0,post,17.43107509613037,node-c,87743.14215103636,830.4200172424316
Round Robin,0,post,17.436220169067383,node-a,99045.5911230621,1011.3387107849121
Round Robin,0,post,17.468652725219727,node-b,53252.451367323214,114.22491073608398
Round Robin,0,post,17.502506494522095,node-c,94010.3488909593,1244.8456287384033
Round Robin,0,post,17.51001000404358,node-a,92693.46721677484,950.2513408660889
Round Robin,0,post,17.723358392715454,node-b,118934.94793058983,110.42380332946777
Round Robin,0,post,17.74373984336853,node-c,80224.4341250599,1103.1301021575928
Round Robin,0,post,17.826547384262085,node-a,134056.45323822956,1097.9628562927246
Round Robin,0,post,17.84029746055603,node-b,175712.5904979484,294.7547435760498
Round Robin,0,post,17.87527346611023,node-c,114457.82409434147,1071.9842910766602
Round Robin,0,post,17.88180708885193,node-a,126263.36790948194,1344.0883159637451
Round Robin,0,post,17.889695167541504,node-b,108751.92996011286,236.0057830810547
