strategy,rep,seed,node,task_size,latency_ms,ok
round_robin,0,100,node-a,59365.71785210792,51.305532455444336,True
round_robin,0,100,node-b,122409.21386818339,92.19026565551758,True
round_robin,0,100,node-c,156478.52457394963,259.7317695617676,True
round_robin,0,100,node-a,139000.64385027572,92.55385398864746,True
round_robin,0,100,node-b,65483.64535056747,64.0878677368164,True
round_robin,0,100,node-c,180909.34972915906,425.5228042602539,True
round_robin,0,100,node-a,150388.1431301546,115.20218849182129,True
round_robin,0,100,node-b,150652.8932241445,137.88390159606934,True
round_robin,0,100,node-c,153703.13452342668,487.31470108032227,True
round_robin,0,100,node-a,183950.25392795957,130.59592247009277,True
round_robin,0,100,node-b,325049.6502460338,301.5749454498291,True
round_robin,0,100,node-c,78002.83572055714,269.47498321533203,True
round_robin,0,100,node-a,108429.19012236646,73.93288612365723,True
round_robin,0,100,node-b,254578.46121153128,288.2511615753174,True
round_robin,0,100,node-c,54244.51111143137,76.49350166320801,True
round_robin,0,100,node-a,124621.23001912204,96.98724746704102,True
round_robin,0,100,node-b,75033.36526329655,66.82372093200684,True
round_robin,0,100,node-c,104855.2510654275,151.9775390625,True
round_robin,0,100,node-a,134272.10371805058,98.51884841918945,True
round_robin,0,100,node-b,40323.76650503087,39.386749267578125,True
round_robin,0,100,node-c,64473.3914965601,175.85515975952148,True
round_robin,0,100,node-a,52444.53848978454,56.79488182067871,True
round_robin,0,100,node-b,94343.65203631423,78.9194107055664,True
round_robin,0,100,node-c,75043.51912865917,65.8254623413086,True
round_robin,0,100,node-a,225889.20432468707,176.12814903259277,True
round_robin,0,100,node-b,78328.06512621902,71.23613357543945,True
round_robin,0,100,node-c,249468.8322533822,720.9813594818115,True
round_robin,0,100,node-a,86432.79256557468,106.41002655029297,True
round_robin,0,100,node-b,121291.47136094447,92.62752532958984,True
round_robin,0,100,node-c,108030.3107483734,493.1612014770508,True
round_robin,0,100,node-a,106511.28073218824,93.75715255737305,True
round_robin,0,100,node-b,60274.114840917595,63.22526931762695,True
round_robin,0,100,node-c,125191.95888825034,547.9137897491455,True
round_robin,0,100,node-a,128308.49957184064,125.88167190551758,True
round_robin,0,100,node-b,119272.34596676857,102.97155380249023,True
round_robin,0,100,node-c,144488.16194812447,902.5065898895264,True
round_robin,0,100,node-a,70306.83143249992,62.903404235839844,True
round_robin,0,100,node-b,91259.04766284446,75.02102851867676,True
round_robin,0,100,node-c,76074.292098516,416.4388179779053,True
round_robin,0,100,node-a,45168.799870009134,44.38424110412598,True
round_robin,0,100,node-b,127263.52075042267,127.24089622497559,True
round_robin,0,100,node-c,77072.562336656,346.4159965515137,True
round_robin,0,100,node-a,101863.27667151856,133.51941108703613,True
round_robin,0,100,node-b,326155.9567046713,382.6916217803955,True
round_robin,0,100,node-c,118824.4278300867,449.99194145202637,True
round_robin,0,100,node-a,111742.78781627354,104.0651798248291,True
round_robin,0,100,node-b,181175.2208349572,434.1273307800293,True
round_robin,0,100,node-c,197486.19821283003,871.8998432159424,True
round_robin,0,100,node-a,262155.5661098793,201.91192626953125,True
round_robin,0,100,node-b,81593.5125830949,279.8447608947754,True
round_robin,0,100,node-c,259942.17794081423,1302.666425704956,True
round_robin,0,100,node-a,99167.74832210605,114.04824256896973,True
round_robin,0,100,node-b,59345.62162867406,334.9320888519287,True
round_robin,0,100,node-c,66556.1588062736,738.2864952087402,True
round_robin,0,100,node-a,184272.41550944114,160.51983833312988,True
round_robin,0,100,node-b,155052.30698975755,339.9653434753418,True
round_robin,0,100,node-c,201090.22079884104,1174.126148223877,True
round_robin,0,100,node-a,66791.74609544923,64.22591209411621,True
round_robin,0,100,node-b,89353.17416777696,102.41436958312988,True
round_robin,0,100,node-c,58185.32558657927,519.6154117584229,True
round_robin,0,100,node-a,39436.77960064572,47.67608642578125,True
round_robin,0,100,node-b,104947.47689378702,96.4212417602539,True
round_robin,0,100,node-c,233653.45473900434,1392.6630020141602,True
round_robin,0,100,node-a,184663.51023113355,129.9910545349121,True
round_robin,0,100,node-b,71801.05046912373,63.158512115478516,True
round_robin,0,100,node-c,189848.54713393707,1904.4075012207031,True
round_robin,0,100,node-a,79368.58392207295,79.77604866027832,True
round_robin,0,100,node-b,123785.18063883237,99.40052032470703,True
round_robin,0,100,node-c,160130.0562851327,1611.65452003479,True
round_robin,0,100,node-a,86375.05587007954,76.0183334350586,True
round_robin,0,100,node-b,68045.25691269501,60.29176712036133,True
round_robin,0,100,node-c,146539.9472165313,1142.2085762023926,True
round_robin,0,100,node-a,96920.41751622132,84.04779434204102,True
round_robin,0,100,node-b,80364.60263053267,73.48132133483887,True
round_robin,0,100,node-c,145421.989367046,1148.634433746338,True
round_robin,0,100,node-a,95107.36417434429,83.95743370056152,True
round_robin,0,100,node-b,128242.71057618788,92.70358085632324,True
round_robin,0,100,node-c,65345.41721633388,821.5179443359375,True
round_robin,0,100,node-a,152095.00444021742,110.39423942565918,True
round_robin,0,100,node-b,65967.29277942743,47.28055000305176,True
round_robin,0,100,node-c,87327.52698490731,547.072172164917,True
round_robin,0,100,node-a,41540.64066249205,41.175127029418945,True
round_robin,0,100,node-b,189044.32582979565,136.39378547668457,True
round_robin,0,100,node-c,110975.30292721748,485.78691482543945,True
round_robin,0,100,node-a,133470.01242885552,104.23088073730469,True
round_robin,0,100,node-b,45205.59582873863,31.618118286132812,True
round_robin,0,100,node-c,114349.91991053856,153.17320823669434,True
